pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Elevated creatine-kinase (CK),Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Elevated total bilirubin,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Hepatopathy,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Hypercalcaemic condition,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Mass NOS,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Other ear disorder NOS,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Skin ulceration,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Acid-base disorder,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Aggression,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Haematochezia,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Hypoxia,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Otitis externa,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Renal disorder NOS,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Tenesmus,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
